Month,Industries_luok,Information,value
2024M08,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2024M09,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",9
2024M09,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",22
2024M09,Construction,"Bankruptcies instigated, number of enterprises",54
2024M09,Trade,"Bankruptcies instigated, number of enterprises",36
2024M09,Transport and storage,"Bankruptcies instigated, number of enterprises",21
2024M09,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",38
2024M09,Other service activities,"Bankruptcies instigated, number of enterprises",93
2024M09,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2024M10,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",10
2024M10,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",16
2024M10,Construction,"Bankruptcies instigated, number of enterprises",59
2024M10,Trade,"Bankruptcies instigated, number of enterprises",64
2024M10,Transport and storage,"Bankruptcies instigated, number of enterprises",29
2024M10,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",35
2024M10,Other service activities,"Bankruptcies instigated, number of enterprises",122
2024M10,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2024M11,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",11
2024M11,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",18
2024M11,Construction,"Bankruptcies instigated, number of enterprises",64
2024M11,Trade,"Bankruptcies instigated, number of enterprises",38
2024M11,Transport and storage,"Bankruptcies instigated, number of enterprises",22
2024M11,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",38
2024M11,Other service activities,"Bankruptcies instigated, number of enterprises",96
2024M11,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2024M12,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2024M12,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",23
2024M12,Construction,"Bankruptcies instigated, number of enterprises",47
2024M12,Trade,"Bankruptcies instigated, number of enterprises",44
2024M12,Transport and storage,"Bankruptcies instigated, number of enterprises",14
2024M12,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",26
2024M12,Other service activities,"Bankruptcies instigated, number of enterprises",107
2024M12,Industry unknown,"Bankruptcies instigated, number of enterprises",0
2025M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",15
2025M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",31
2025M01,Construction,"Bankruptcies instigated, number of enterprises",70
2025M01,Trade,"Bankruptcies instigated, number of enterprises",61
2025M01,Transport and storage,"Bankruptcies instigated, number of enterprises",30
2025M01,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",52
2025M01,Other service activities,"Bankruptcies instigated, number of enterprises",119
2025M01,Industry unknown,"Bankruptcies instigated, number of enterprises",3
2025M02,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",10
2025M02,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",20
2025M02,Construction,"Bankruptcies instigated, number of enterprises",59
2025M02,Trade,"Bankruptcies instigated, number of enterprises",55
2025M02,Transport and storage,"Bankruptcies instigated, number of enterprises",26
2025M02,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",34
2025M02,Other service activities,"Bankruptcies instigated, number of enterprises",122
2025M02,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2025M03,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2025M03,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",34
2025M03,Construction,"Bankruptcies instigated, number of enterprises",72
2025M03,Trade,"Bankruptcies instigated, number of enterprises",52
2025M03,Transport and storage,"Bankruptcies instigated, number of enterprises",23
2025M03,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",38
2025M03,Other service activities,"Bankruptcies instigated, number of enterprises",123
2025M03,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2025M04,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",10
2025M04,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",28
2025M04,Construction,"Bankruptcies instigated, number of enterprises",87
2025M04,Trade,"Bankruptcies instigated, number of enterprises",38
2025M04,Transport and storage,"Bankruptcies instigated, number of enterprises",32
2025M04,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",33
2025M04,Other service activities,"Bankruptcies instigated, number of enterprises",101
2025M04,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2025M05,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2025M05,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2025M05,Construction,"Bankruptcies instigated, number of enterprises",71
2025M05,Trade,"Bankruptcies instigated, number of enterprises",59
2025M05,Transport and storage,"Bankruptcies instigated, number of enterprises",25
2025M05,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",34
2025M05,Other service activities,"Bankruptcies instigated, number of enterprises",144
2025M05,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2025M06,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2025M06,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",37
2025M06,Construction,"Bankruptcies instigated, number of enterprises",51
2025M06,Trade,"Bankruptcies instigated, number of enterprises",40
2025M06,Transport and storage,"Bankruptcies instigated, number of enterprises",23
2025M06,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",39
2025M06,Other service activities,"Bankruptcies instigated, number of enterprises",108
2025M06,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2025M07,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8
2025M07,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",11
2025M07,Construction,"Bankruptcies instigated, number of enterprises",45
2025M07,Trade,"Bankruptcies instigated, number of enterprises",32
2025M07,Transport and storage,"Bankruptcies instigated, number of enterprises",26
2025M07,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",29
2025M07,Other service activities,"Bankruptcies instigated, number of enterprises",93
2025M07,Industry unknown,"Bankruptcies instigated, number of enterprises",7
2025M08,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2025M08,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",13
2025M08,Construction,"Bankruptcies instigated, number of enterprises",59
2025M08,Trade,"Bankruptcies instigated, number of enterprises",48
2025M08,Transport and storage,"Bankruptcies instigated, number of enterprises",25
2025M08,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",20
2025M08,Other service activities,"Bankruptcies instigated, number of enterprises",104
2025M08,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2025M09,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",14
2025M09,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",21
2025M09,Construction,"Bankruptcies instigated, number of enterprises",57
2025M09,Trade,"Bankruptcies instigated, number of enterprises",47
2025M09,Transport and storage,"Bankruptcies instigated, number of enterprises",14
2025M09,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",21
2025M09,Other service activities,"Bankruptcies instigated, number of enterprises",110
2025M09,Industry unknown,"Bankruptcies instigated, number of enterprises",5
2025M10,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",11
2025M10,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",24
2025M10,Construction,"Bankruptcies instigated, number of enterprises",66
2025M10,Trade,"Bankruptcies instigated, number of enterprises",60
2025M10,Transport and storage,"Bankruptcies instigated, number of enterprises",27
2025M10,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",35
2025M10,Other service activities,"Bankruptcies instigated, number of enterprises",121
2025M10,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2025M11,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8
2025M11,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2025M11,Construction,"Bankruptcies instigated, number of enterprises",64
2025M11,Trade,"Bankruptcies instigated, number of enterprises",38
2025M11,Transport and storage,"Bankruptcies instigated, number of enterprises",19
2025M11,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",30
2025M11,Other service activities,"Bankruptcies instigated, number of enterprises",129
2025M11,Industry unknown,"Bankruptcies instigated, number of enterprises",8
2025M12,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",12
2025M12,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2025M12,Construction,"Bankruptcies instigated, number of enterprises",67
2025M12,Trade,"Bankruptcies instigated, number of enterprises",61
2025M12,Transport and storage,"Bankruptcies instigated, number of enterprises",21
2025M12,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",43
2025M12,Other service activities,"Bankruptcies instigated, number of enterprises",129
2025M12,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2026M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",11
2026M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",26
2026M01,Construction,"Bankruptcies instigated, number of enterprises",75
